ids	sample1_conditionA_batch1	sample2_conditionA_batch1	sample3_conditionB_batch1	sample4_conditionB_batch1
d9fe354e-ba4c-4b59-b6ab-d790cdb8ba13_R1_23	4.0	3.0	2.0	3.0
da0217e7-3555-4b3a-9996-096a2aea5c8d_R1_73	3.0	2.0	7.0	6.0
da6b976c-27c8-464e-b9ce-b535ea5543e5_R2_7	33.0	30.0	0.0	3.0
dbd9eb7d-96f4-4454-bfe6-0e639cbbabe8_R1_103	58.0	24.0	2.0	3.0
dc355a4b-32ca-4600-89c5-7ec21479c33c_R1_103	3.0	0.0	0.0	1.0
dc51cf9a-5f70-444a-8093-8f123aface36_R1_73	1.0	0.0	1.0	1.0
dd4bec8a-b6f1-430b-974e-8299e8619730_R1_92	4.0	3.0	1.0	0.0
dde29907-3867-4898-bd79-fd020b9c7467_R1_22	5.0	2.0	0.0	0.0
dde323be-a15d-45df-8696-098e634462fe_R2_24	2.0	1.0	0.0	0.0
dde8f9fe-b7a0-4e8b-9723-f6dae7c14a69_R1_73	0.0	2.0	4.0	7.0
debd1d4a-70bb-4d38-949f-c80ec3f89d53_R2_60	1.0	1.0	3.0	3.0
df427e45-7ad5-4a18-8729-830d7342ee56_R2_38	114.0	48.0	69.0	103.0
df55384a-ce84-46ce-9952-cddc1a043412_R2_24	2.0	0.0	0.0	1.0
dfc3e2ad-c082-447e-b2e6-54db6b7773f6_R1_103	2.0	2.0	3.0	7.0
dfc77dbb-9e7d-4089-b04b-89d723448888_R2_150	337.0	123.0	25.0	33.0
dfdf9746-95e8-457d-b8ed-8f8fcd8de768_R2_53	4.0	4.0	24.0	30.0
e03964b9-61bd-4c58-9d35-4f98d8c8d64b_R2_53	4.0	6.0	29.0	32.0
e042d63b-a673-4577-9987-94b93ddeb829_R1_103	14.0	8.0	2.0	1.0
e0691bb8-838c-40b1-8dff-4a47fce3961a_R1_22	46.0	15.0	0.0	1.0
e06a7ab2-3dc3-4eae-8b97-fa140957a2a5_R2_24	2.0	1.0	0.0	1.0
e0954368-3754-4c0d-98df-338add17b5fe_R1_73	17.0	14.0	23.0	28.0
e0dffac9-c622-4f63-a357-ffb4be2bc626_R1_23	4.0	0.0	1.0	2.0
e0f4eb86-89c1-4914-8015-0dea02ef797c_R2_151	1.0	0.0	0.0	2.0
e11bee6a-b557-4505-a9bc-e60b5fa21d13_R2_53	4.0	2.0	6.0	18.0
e1880e88-1268-454c-9f96-58cae81113ee_R2_72	62.0	113.0	78.0	81.0
e1b2ee32-ce0d-46bb-a5fc-907347297f7b_R1_103	18.0	14.0	1.0	2.0
e2416075-34f4-48d7-b2ec-297c7bd2c879_R2_53	6.0	3.0	33.0	28.0
e24f9057-c190-48bb-9632-399c4d1837fa_R2_53	4.0	0.0	20.0	18.0
e26b6666-7452-4edd-8c20-d7be647fb61c_R2_53	9.0	5.0	39.0	48.0
e3c5ec41-8a7a-474c-9330-3e4a05ff6768_R1_103	3.0	6.0	2.0	2.0
e4721e47-0644-4e99-a2dd-c9150e2b86e7_chrIS:6223000	32.0	10.0	20.0	28.0
e49b85b9-9039-4b49-8fc0-9c1315f74497_R2_60	1.0	0.0	0.0	3.0
e4be1aa4-7f66-40e8-a16e-7eafbcde6899_R1_103	10.0	1.0	1.0	2.0
e510592b-9318-4e02-8794-3383f2d1a5c6_R2_143	33.0	12.0	464.0	646.0
e63f77f2-1169-459b-9191-5f960cea5f43_R1_73	19.0	11.0	15.0	21.0
e647d6ec-da07-4548-b35e-cf5f96233ad2_R2_32	3.0	0.0	0.0	1.0
e655fb74-6206-4dbc-88be-354009ad84be_R2_6	606.0	177.0	59.0	80.0
e6a744c4-0d91-4f43-91d2-eab6ea50b102_R1_103	5.0	2.0	0.0	1.0
e6f486c2-b58d-4c18-8e7b-41dd7aa5907b_R2_42	41.0	19.0	26.0	26.0
e77cb70d-19db-43a5-a2aa-ce6a47b1fa16_R2_38	15.0	11.0	9.0	14.0
e7f74ff1-5604-41ad-a984-9e8cc2c2e016_R2_24	27.0	64.0	19.0	28.0
e8d0ab00-34ac-4523-bc78-5ebed14523aa_R2_105	8.0	4.0	2.0	3.0
e91554e4-3b94-48dd-89a7-02d406fcc363_R2_41	14.0	1.0	0.0	0.0
e968e667-6dce-41cf-9267-a7e3305bc4d2_R1_73	8.0	5.0	18.0	27.0
e9a4410c-f77a-4040-a575-dfcfaac61894_chrIS:6184000	9859.0	2651.0	12462.0	20504.0
e9bcc506-5368-407b-a27d-1e9af49767a0_chrIS:4234000	5.0	8.0	8.0	13.0
ea3cb37f-64e8-4ce0-9d49-f9320d9ffda2_R1_103	7.0	7.0	1.0	4.0
ec9647c9-da58-4791-9990-5cd63c8fb9dd_R1_103	79.0	5.0	13.0	13.0
ed6f681a-0458-4209-8cd5-e3adad31e22d_R1_73	6.0	2.0	11.0	17.0
ed92cb05-0940-4605-8a16-812aa085a27b_R1_33	1.0	0.0	1.0	2.0
ee814490-a8fb-47e0-a4ef-81946ffcff6e_R1_103	13.0	16.0	4.0	1.0
eebc6fe0-7f48-45a0-840a-88a828e4ffaf_R2_53	5.0	1.0	19.0	28.0
ef0023e6-5681-46d9-8071-4a470012a1d2_R1_22	27.0	10.0	1.0	0.0
ef691f38-b47f-488c-a2a4-83912b8725f7_R2_46	38.0	24.0	25.0	19.0
ef9eeab6-f8f2-4313-82ba-65969d49f353_R2_26	10.0	7.0	1.0	3.0
efcc7cc3-a085-4cc9-93f7-1db1733ea377_R1_22	9.0	0.0	0.0	2.0
eff51669-380f-44fa-a27b-4cbb990ec838_R1_92	1785.0	855.0	342.0	415.0
f12e7fe0-df55-439d-88ad-816ccae0e5f8_R2_53	2.0	3.0	9.0	9.0
f233eb38-5668-4482-962a-3969e9e65480_R2_6	93.0	23.0	10.0	8.0
f254f937-240b-453e-bee5-a2bc326a3256_chrIS:1379000	2421.0	1416.0	481.0	686.0
f2e9239f-35d7-4c9a-84fd-a71bd6d9fa49_R1_33	1.0	0.0	2.0	1.0
f399b938-3cad-47e3-888e-ff65e58324ef_R1_103	4.0	4.0	2.0	0.0
f3ddcfdb-1db3-4802-a2f3-1c469b278f6a_R2_41	2.0	2.0	3.0	2.0
f41530bf-b155-46c6-b9c4-9ce1271d8d33_R2_53	8.0	7.0	47.0	70.0
f415816a-bf1f-4535-a138-51e97d64717d_R2_38	11.0	7.0	6.0	7.0
f5d47298-b6dd-48c6-aed8-35b99be297ad_R2_152	0.0	0.0	1.0	3.0
f6300625-9b04-455f-9419-bdf0ab70b2ef_R2_72	44.0	53.0	31.0	44.0
f6603a3b-ae41-42c3-92df-746c9350ecd8_R2_53	4.0	1.0	17.0	20.0
f670e7d3-ba3c-40d1-ae91-42c75d82b696_R2_53	4.0	3.0	21.0	27.0
f700f751-64c9-4c29-a21a-bfcea019af9b_R2_46	35.0	30.0	22.0	32.0
f72c6c82-e5a0-4067-8f04-73c6f40d13ea_R1_31	11.0	6.0	6.0	4.0
f74ac7d1-2624-4e61-bd7d-819ae4f30a44_R2_72	32.0	23.0	21.0	29.0
f76eb6c3-6a9e-44fc-abb6-b03c9a863484_R1_41	22.0	4.0	63.0	99.0
f7a61998-4bf3-4e54-bf1f-1f7db586b01d_R1_92	7.0	1.0	4.0	2.0
f7da21e9-8476-4452-9539-f8faa690db69_R1_73	49.0	34.0	128.0	139.0
f834b56e-ce94-43dd-bc0b-88eab366e17a_R1_33	4.0	3.0	4.0	4.0
fa64287b-dbeb-4619-bc1f-e7950ccd00c7_R1_73	106.0	48.0	223.0	372.0
faa08c1d-d169-4c1e-b0ec-6456fbf286f2_R2_53	4.0	2.0	18.0	29.0
fad0b1a0-01a0-4cdc-b3b9-d5993aa03125_R1_73	136.0	75.0	282.0	391.0
fb100b60-f1b2-4a32-a561-b8e5e8ca4d12_R2_117	4.0	6.0	5.0	9.0
fbb1c4be-7cc4-4d20-a818-532cdbd2d1ab_R1_103	12.0	8.0	3.0	3.0
fbf44315-bb7e-405c-aa34-d5a2950111bc_R1_22	27.0	6.0	0.0	1.0
fc384c29-2684-49eb-b514-130c4867b274_R1_92	205.0	90.0	41.0	71.0
fd2a3288-d36e-40c5-9ae3-d3c77408c8d3_R1_73	26.0	20.0	17.0	28.0
fdbd0431-fd21-43cb-af57-a35352f0e752_chrIS:95000	48964.0	17923.0	183194.0	288288.0
feb52738-4e15-45e2-9701-a9b7201403e9_R1_73	16.0	6.0	11.0	22.0
ff4d2b7c-f93b-42b8-a87b-8be46e23aa50_R1_73	109.0	52.0	100.0	132.0
ff67b546-1813-4108-b843-88daa6f0da09_R1_92	7.0	1.0	0.0	3.0
ffd1dbab-3db6-427a-a02a-db5afae9af7d_chrIS:6211000	22380.0	5994.0	7851.0	12985.0
ffe24ac1-2a44-42d3-bfb7-54b5e487a6fd_R2_53	2.0	0.0	6.0	8.0
