ids	sample1_conditionA_batch1	sample2_conditionA_batch1	sample3_conditionB_batch1	sample4_conditionB_batch1
2aa37529-2d5f-4c6e-839a-e60b2ee0d504_R2_53	3.0	0.0	10.0	13.0
2b64aa8c-4723-4d7b-bd8f-cb72fa7d8f80_R2_59	0.0	0.0	4.0	1.0
2cbe604c-fbed-4fe5-9770-33de22afa837_R1_31	9.0	3.0	1.0	4.0
2e1a8efc-2cdb-4f37-b170-e07f73af5311_R1_73	14.0	10.0	16.0	15.0
2e2af591-9086-48e3-a693-85f8ba8e46a9_R1_73	61.0	26.0	120.0	189.0
2ea2e90c-137e-42cc-a640-10a3b0b8865a_R1_73	6.0	11.0	10.0	19.0
2f3bbd0f-6022-4f6b-a21f-9536ca7dc5a2_chrIS:4144000	1443.0	793.0	910.0	1131.0
30d534e3-28c8-4f90-8686-6ad281d3e765_R1_92	3.0	2.0	0.0	2.0
32c2268e-4c1b-48cf-8d60-5a3d8a191b73_R1_103	1.0	2.0	2.0	1.0
3488465a-bc49-4797-be25-9b9fe93ea35c_R1_73	62.0	29.0	26.0	58.0
348b7ed0-4cfa-4843-926b-15927399c193_R2_7	36.0	17.0	0.0	2.0
34b9f7bb-cc2f-4b23-98f6-da5b114a1984_R1_73	7.0	2.0	6.0	5.0
352a74dd-5080-42fa-a4fc-ad4c12288d84_R1_92	5.0	2.0	3.0	3.0
35b0287c-d854-462a-8d7d-606fe668a3c7_R1_31	2.0	0.0	1.0	1.0
35ea2014-aadf-4578-9def-e432400942ac_R2_1	283.0	121.0	161.0	242.0
36473829-1080-4a3f-b8a5-740d712ac469_R2_45	5.0	2.0	1.0	3.0
36c42cdb-0eab-439e-8b3a-d94c717a2e74_R1_73	13.0	7.0	24.0	46.0
3726ee4e-71d1-4f84-ba06-c1628b9059b3_R1_103	2.0	1.0	6.0	4.0
372abbb2-b2ec-4b58-88cb-aec18f7e0028_R2_53	1.0	3.0	8.0	5.0
37c557bc-ce7a-4cbb-8465-34b8835e3ff1_R2_150	1032.0	515.0	78.0	125.0
38082e76-46a4-4400-a49b-eb45a2bf4957_R1_92	2.0	0.0	1.0	0.0
384a53f7-880d-4db7-b129-eeec12be8f71_R2_59	0.0	0.0	0.0	3.0
38978cc6-b98d-4e26-ac05-a09bbebdc051_R2_32	3.0	2.0	0.0	0.0
38d3a354-ea6a-44e1-8b3e-2ab91867b635_chrIS:4145000	13.0	8.0	6.0	8.0
38dd8853-b25b-4296-87ef-f574e9034648_R2_26	19.0	8.0	0.0	2.0
39361906-d5d8-4903-ad86-bb31ccdc2c71_R1_103	2.0	1.0	6.0	4.0
39629f07-1a1d-4a49-a0ae-5fd064e15396_R1_73	7.0	5.0	22.0	31.0
397877b7-b39c-4631-b840-1e117f8cc45d_R2_150	457.0	171.0	20.0	33.0
39a6ca3e-4c2d-43b5-86c4-1805e559275c_R2_26	4.0	6.0	2.0	4.0
39f24b7b-b629-4c64-b983-f73706aa4e81_R1_23	2.0	1.0	2.0	1.0
3b679545-b608-4670-ab33-7ba3540f9ac0_R2_117	10.0	13.0	7.0	8.0
3e17f2fa-1580-46a3-8fe7-787f1c5441aa_R2_38	19.0	10.0	13.0	7.0
3f361e80-aa6a-4726-9b5e-d48ab39c845c_R2_53	2.0	3.0	8.0	9.0
3f827a2c-d50f-4863-a25d-9102a54f2b63_R2_41	1.0	3.0	0.0	3.0
3f91e281-4c84-4151-9b6d-206b1761f579_R1_73	11.0	7.0	17.0	27.0
406245b4-ff18-45ad-aa3b-21b1fbca3b61_R1_103	30.0	3.0	8.0	20.0
4131aa88-bde1-4abf-9c8e-6caac823821c_R2_45	4.0	4.0	2.0	6.0
417420fc-fefd-430b-86df-4c9e7c0b344d_R1_22	13.0	10.0	0.0	0.0
41fa7cb1-4d35-45f2-8191-546c06aad114_R1_73	16.0	9.0	14.0	6.0
424b4120-3c75-4d0d-978e-8d23ef7a9a4d_R1_73	35.0	16.0	62.0	97.0
43b039aa-c52d-4a15-8ced-efe5eaecb1a8_R2_26	2.0	1.0	1.0	0.0
43eb77ea-81f1-48b0-8c5a-75d62f6ffc7f_R1_23	5.0	3.0	2.0	2.0
443e599d-8a8d-402c-b524-4f43f34ff798_R1_73	21.0	13.0	31.0	37.0
447101da-74fb-4995-8b26-39c35589b996_R2_53	7.0	1.0	13.0	25.0
44b8b343-d4c3-4739-9cbf-115804c9dd89_R1_33	3.0	4.0	2.0	3.0
44b9139d-ad67-4311-861f-23a96e9e19ae_R2_14	23.0	12.0	11.0	15.0
44c76edb-ddae-4f2e-a200-a4edfa4b1212_R1_31	7.0	3.0	7.0	3.0
454bf8ea-c7ac-453d-ad57-fbcf5f034fa4_R2_42	41.0	20.0	18.0	47.0
45696780-cd0c-4dcc-b9f8-ab0a14eb4b8e_R1_73	6.0	1.0	8.0	12.0
